author_ids,title,source_title,article_no,cited_count,doi,abstract,document_type,keywords
"['7101816438', '6602231941']",Bad news first: How optimal directness depends on what is negated,IEEE International Professional Communication Conference, 8013959,1.0,10.1109/IPCC.2017.8013959,"This article reports study results in which participants (n=145) responded to a variety of negative messages in a variety of message channels, visual, textual, and verbal. Participants participated in A-B testing of distinct message strategies and then identified communication values that seemed most important in distinct message contexts. Results showed very clear differences between two broad classes of negative information: negative information about perceived physical facts (e.g. the presence of hazardous materials or dangerous conditions) as opposed to negative information about social relationships (e.g., a romantic breakup, the death of a loved one, or termination of employment). Participants consistently identified directness as a communicative virtue, even in contexts where they preferred a message format with a consistently small buffer in order to also satisfy a perceived need for politeness. Conversely, explanatory information prior to bad news was never preferred over bad-news-first in cases involving physical-fact bad news. © 2017 IEEE.",Conference Paper,"['bad news', ' directness', ' Negative message buffer', ' visualsbad news', ' directness', ' Message format', ' Negative information', ' Negative message buffer', ' Small buffers', ' Social relationships', ' visuals']"
"['55212512700', '56681156600', '56315352000', '56680505500', '57203028829']",Non-perturbing voltage measurement in a coaxial cable with slab-coupled optical sensors,Applied Optics,,4.0,10.1364/AO.56.006814,Voltage in a coaxial cable is measured by an electric-field optical fiber sensor exploiting the proportionality of voltage and electric field in a fixed structure. The sensor is inserted in a hole drilled through the dielectric of the RG-218 coaxial cable and sealed with epoxy to displace all air and prevent the adverse effects of charge buildup during high-voltage measurements. It is shown that the presence of the sensor in the coaxial cable does not significantly increase electrical reflections in the cable. A slab-coupled optical fiber sensor (SCOS) is used for its compact size and dielectric make. The dynamic range of 50 dB is shown experimentally with detection of signals as low as 1 V and up to 157 kV. A low corner of 0.3 Hz is demonstrated and the SCOS is shown to be able to measure 90 ns rise time. © 2017 Optical Society of America.,Article,
"['56492379200', '57195398251', '56709476900', '56387524600', '16422844400', '7102975249']",Optofluidic lab-on-a-chip fluorescence sensor using integrated buried ARROW (bARROW) waveguides,Micromachines, 252,4.0,10.3390/mi8080252,"Optofluidic, lab-on-a-chip fluorescence sensors were fabricated using buried anti-resonant reflecting optical waveguides (bARROWs). The bARROWs are impervious to the negative water absorption effects that typically occur in waveguides made using hygroscopic, plasma-enhanced chemical vapor deposition (PECVD) oxides. These sensors were used to detect fluorescent microbeads and had an average signal-to-noise ratio (SNR) that was 81.3% higher than that of single-oxide ARROW fluorescence sensors. While the single-oxide ARROW sensors were annealed at 300 ◦ C to drive moisture out of the waveguides, the bARROW sensors required no annealing process to obtain a high SNR. © 2017 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"['Fluorescence sensing', ' Lab-on-a-chip', ' Optofluidics', ' Pecvd', ' SiO2', ' Water absorptionFluorescence', ' Lab-on-a-chip', ' Plasma CVD', ' Plasma enhanced chemical vapor deposition', ' Water absorption', ' Waveguides', ' Absorption effects', ' Antiresonant reflecting optical waveguides', ' Fluorescence sensing', ' Fluorescence sensors', ' Opto-fluidics', ' Plasma enhanced chemical vapor depositions (PE CVD)', ' Single oxides', ' SiO2', ' Signal to noise ratio']"
"['14033673100', '57197795830', '57192307368', '57197800472', '57197797367', '57217482839']",Toward quantitative characterization of essential tremor for future tremor suppression,IEEE International Conference on Rehabilitation Robotics, 8009242,1.0,10.1109/ICORR.2017.8009242,"Tremor is the most common movement deficit and manifests in a variety of disorders, including Essential Tremor, Parkinson's Disease, Dystonia, and Cerebellar Ataxia. Although medication and surgical interventions have significantly reduced patient suffering, they are only partially effective and can carry undesired side effects, leaving many patients without satisfactory treatment options. Wearable tremor-suppressing devices could provide an alternative to medication and surgery. Multiple research groups have developed orthotic prototypes to low-pass filter tremor, but these devices have not yet been optimized for in-vivo use. Optimizing non-invasive tremor suppression requires an understanding of where the tremor originates mechanically (which muscles) and how it propagates to the hand (where it matters most). Here we present on the beginnings of our multi-pronged work to determine the origin, propagation, and distribution of Essential Tremor, and we provide preliminary results. © 2017 IEEE.",Conference Paper,
"['55949256500', '36106810300', '56453304300', '57194875876', '7005666650', '14822519000']",Water entry of deformable spheres,Journal of Fluid Mechanics,,19.0,10.1017/jfm.2017.365,"When a rigid body collides with a liquid surface with sufficient velocity, it creates a splash curtain above the surface and entrains air behind the sphere, creating a cavity below the surface. While cavity dynamics has been studied for over a century, this work focuses on the water entry characteristics of deformable elastomeric spheres, which has not been studied. Upon free surface impact, an elastomeric sphere deforms significantly, giving rise to large-scale material oscillations within the sphere resulting in unique nested cavities. We study these phenomena experimentally with high-speed imaging and image processing techniques. The water entry behaviour of deformable spheres differs from rigid spheres because of the pronounced deformation caused at impact as well as the subsequent material vibration. Our results show that this deformation and vibration can be predicted from material properties and impact conditions. Additionally, by accounting for the sphere deformation in an effective diameter term, we recover previously reported characteristics for time to cavity pinch off and hydrodynamic force coefficients for rigid spheres. Our results also show that velocity change over the first oscillation period scales with the dimensionless ratio of material shear modulus to impact hydrodynamic pressure. Therefore, we are able to describe the water entry characteristics of deformable spheres in terms of material properties and impact conditions. © 2017 Cambridge University PressÂ.",Article,"['aerodynamics', ' flow-structure interactions', ' interfacial flows (free surface)Aerodynamics', ' Air', ' Deformation', ' Fluid dynamics', ' Hydrodynamics', ' Image processing', ' Shear flow', ' Dimensionless ratios', ' Effective diameter', ' Flow-structure interaction', ' High speed imaging', ' Hydrodynamic forces', ' Impact hydrodynamic pressure', ' Interfacial flow (free surface)', ' Oscillation periods', ' Spheres', ' aerodynamics', ' deformation', ' fluid mechanics', ' free surface flow', ' impact', ' interface', ' rigidity', ' sphere']"
"['57191108291', '57207901363', '6507391043']",Generating derivative superstructures for systems with high configurational freedom,Computational Materials Science,,3.0,10.1016/j.commatsci.2017.04.015,"Modeling alloys requires the exploration of all possible configurations of atoms. Additionally, modeling the thermal properties of materials requires knowledge of the possible ways of displacing the atoms. One solution to finding all symmetrically unique configurations and displacements is to generate the complete list of possible configurations and remove those that are symmetrically equivalent. This approach, however, suffers from a combinatorial explosion when the supercell size is large, when there are more than two atom types, or when there are many displaced atoms. This problem persists even when there are only a relatively small number of unique arrangements that survive the elimination process. Here, we extend an existing algorithm to include the extra configurational degrees of freedom from the inclusion of displacement directions. The algorithm uses group theory and a tree-like data structure to eliminate large classes of configurations, avoiding the typical combinatoric explosion. With this approach we can now enumerate previously inaccessible cases, including atomic displacements. © 2017 Elsevier B.V.",Article,"['Derivative superstructures', ' Displacement patterns', ' EnumerationDegrees of freedom (mechanics)', ' Group theory', ' Trees (mathematics)', ' Atomic displacement', ' Combinatorial explosion', ' Displacement direction', ' Displacement patterns', ' Elimination process', ' Enumeration', ' Model alloys', ' Thermal properties of materials', ' Atoms']"
"['35186389400', '7406552522', '7006715937', '57192595504', '7101643443', '55511230900', '7003381644']",Improved Antenna Efficiency Measurement Uncertainty in a Reverberation Chamber at Millimeter-Wave Frequencies,IEEE Transactions on Antennas and Propagation, 7934072,13.0,10.1109/TAP.2017.2708084,"We provide results of antenna radiation and total radiation efficiency at millimeter-wave frequencies gathered with a new open-ended waveguide-plate method that is compared to a well-known two-antenna method. The new method yields improved uncertainty in antenna efficiency measurements. Both methods are based on use of a reverberation chamber. Measurement results are compared to numerical simulations and good agreement (3% maximum difference) is achieved. Before performing the efficiency measurements, the chamber configuration was assessed with respect to the Rician $K$ -factor, number of uncorrelated paddle orientations, and coherence bandwidth. We calculated the uncertainty using the NIST microwave uncertainty framework capable of performing parallel sensitivity and Monte Carlo analyses. The framework enables us to capture and propagate the uncertainties in the S-parameter measurements to the final efficiency result. The expanded uncertainty that we achieved for these antenna efficiency measurements is 2.60%. © 1963-2012 IEEE.",Article,"['Antenna radiation efficiency', ' antenna total radiation efficiency', ' measurement uncertainty', ' millimeter wave', ' openended waveguide (OEW)', ' reverberation chamber (RC)', ' wireless systemsAnechoic chambers', ' Antenna radiation', ' Efficiency', ' Microwave antennas', ' Millimeter waves', ' Reverberation', ' Scattering parameters', ' Waveguides', ' Antenna radiation efficiency', ' Measurement uncertainty', ' Open ended waveguides', ' Radiation efficiency', ' Reverberation chambers', ' Wireless systems', ' Uncertainty analysis']"
"['7202083837', '24465414600', '26644144000', '55547115089']",Space-Time Coding for Aeronautical Telemetry: Part i - Estimators,IEEE Transactions on Aerospace and Electronic Systems, 7859332,4.0,10.1109/TAES.2017.2671784,"This paper derives and analyzes the estimators required for detection and decoding of Alamouti-encoded-shaped offset QPSK version TG (SOQPSK-TG). The joint maximum likelihood (ML) estimators for the frequency offset, channel delays, and channel gains are derived and analyzed. As a complexity-reducing technique, a sequential version of the ML estimators is developed. The Cramér-Rao bound for the parameters is derived and used to analyze the performance of the estimators to determine pilot sequence length. The complexity of the frequency estimator is reduced by applying the Zoom FFT algorithm in the coarse search. The complexity of the channel delay estimator was reduced by developing a novel version of the simplex search algorithm that operated on a discrete two-dimensional grid. These estimation algorithms were implemented in a prototype demodulator that was field tested at Edwards AFB. © 2017 IEEE.",Article,
"['7202083837', '55547115089', '24465414600', '26644144000', '55710750200']",Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance,IEEE Transactions on Aerospace and Electronic Systems, 7859339,4.0,10.1109/TAES.2017.2671785,"This paper describes the use of Alamouti-encoded-shaped offset QPSK version TG (SOQPSK-TG) to solve the two-antenna problem in aeronautical telemetry. The Alamouti space-time block code is used to encode the phase states in the complex exponential representation of SOQPSK-TG. Because SOQPSK-TG possesses memory, the Alamouti decoder is a sequence estimator. Maximum likelihood and least squares sequence decoders are derived. To reduce the number of states, the eight-waveform cross-correlated trellis-coded quadrature modulation (XTCQM) approximate representation of SOQPSK-TG is used. A prototype decoder based on the least squares decoder and the estimators described in Part I and operating at a data rate of 10 Mb/s was tested in the laboratory in test flights at the Air Force Test Center, Edwards AFB. The test flights demonstrate that Alamouti-encoded SOQPSK-TG, as described in this paper, using the least squares decoder based on the estimators described in Part I solves the two antenna problem in aeronautical telemetry. © 2017 IEEE.",Article,
"['57193564939', '54399816500', '55726346900', '55585953300', '24295291100', '8935514400', '56762988100', '7401969039']",Process responses and resultant joint properties of friction stir welding of dissimilar 5083 and 6061aluminum alloys,Journal of Mechanical Science and Technology,,5.0,10.1007/s12206-017-0742-8,"The effects of combinations of dissimilar aluminum alloys during Friction stir welding (FSW) on the process response and resultant joint properties are experimentally investigated using two dissimilar automotive structural aluminum alloys. Depending on the materials on the advancing and retreating sides of the tool travel direction during FSW, four different material combinations are considered. FSW joints without macroscopic defects are successfully fabricated for the four different material combinations. The optical microscopy results show that the macroscopic material mixing behaviors of the two dissimilar material combinations during FSW are somewhat different from each other, even though the process responses during joining are not much different. The results of the quasi-static tensile tests and EBSD analysis demonstrate that the mechanical behaviors and orientation changes of the joint during tensile deformation are affected by the material locations with respect to the tool travel direction during FSW. © 2017, The Korean Society of Mechanical Engineers and Springer-Verlag GmbH Germany.",Article,"['Aluminum alloys', ' Friction stir welding', ' Joint properties', ' Process responsesAluminum', ' Aluminum alloys', ' Friction', ' Materials properties', ' Research laboratories', ' Tensile testing', ' Tribology', ' Welding', ' Dissimilar aluminum alloy', ' Friction stir welding(FSW)', ' Joint property', ' Macroscopic materials', ' Material combination', ' Mechanical behavior', ' Process response', ' Quasi-static tensile test', ' Friction stir welding']"
"['7006214218', '57194392244', '9845705900', '7004929818', '57194379165', '57207901363', '6603325558']",The AFLOW Library of Crystallographic Prototypes: Part 1,Computational Materials Science,,46.0,10.1016/j.commatsci.2017.01.017,"An easily available resource of common crystal structures is essential for researchers, teachers, and students. For many years this was provided by the U.S. Naval Research Laboratory's Crystal Lattice Structures web page, which contained nearly 300 crystal structures, including a majority of those which were given Strukturbericht designations. This article presents the updated version of the database, now including 288 standardized structures in 92 space groups. Similar to what was available on the web page before, we present a complete description of each structure, including the formulas for the primitive vectors, all of the basis vectors, and the AFLOW commands to generate the standardized cells. We also present a brief discussion of crystal systems, space groups, primitive and conventional lattices, Wyckoff positions, Pearson symbols and Strukturbericht designations. The web version of this database is located at http://aflow.org/CrystalDatabase. © 2017 Elsevier B.V.",Article,"['Basis Vectors', ' Crystal Structure', ' Database', ' Lattice Vectors', ' Space Groups', ' Wyckoff PositionsDatabase systems', ' Research laboratories', ' Teaching', ' Vector spaces', ' Vectors', ' Websites', ' Basis vector', ' Crystal lattice structure', ' Crystal system', ' Lattice vectors', ' Naval Research Laboratory', ' Pearson symbol', ' Space Groups', ' Wyckoff positions', ' Crystal structure']"
"['56300864300', '56830076500', '35269204800', '6603040755', '57192964074', '57192955909', '57192959498', '57192961253']",Methods for determining the optimal number of simultaneous contributors for multi-user CAD parts,Computer-Aided Design and Applications,,4.0,10.1080/16864360.2016.1273578,"The development of multi-user CAD (MUCAD) tools has opened up exciting new opportunities and applications. The capability for multiple users to simultaneously model and design a CAD part has far-reaching potential. However, many basic questions remains unanswered, such as how many users should work together on a given part. This research proposes and develops a set of methods to determine the optimal number of users for a given part within a MUCAD environment, based on the characteristics of the part itself. Two candidate models are evaluated with a set of 60 experiments with design teams composed of different numbers of users. The models show modest correlations with the test data while more-refined models are explored to improve predictive power. On the other hand, highly significant correlations between the ability to predict completion time and multi-user team size were identified in the experimental data. Observations regarding the speed and quality of MUCAD teams are also made with future areas of research suggested. © 2017 CAD Solutions, LLC.",Article,"['collaborative design', ' concurrent engineering', ' Multi-user CADConcurrent engineering', ' Candidate models', ' Collaborative design', ' Completion time', ' Multi-user', ' Multiple user', ' Optimal number', ' Predictive power', ' Refined model', ' Computer aided design']"
"['57197710678', '35562442700']",Counter UAS using a formation controlled dragnet,"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017", 7991391,3.0,10.1109/ICUAS.2017.7991391,"Rapidly developing UAS technology necessitates reliable counter UAS systems. This paper proposes a formation controlled dragnet as a possible solution and compares potential intercept algorithms that can be used in this scenario. Proportional navigation and target-predictive path planning, both existing algorithms, are explored and an original approach, Adaptive Radius Optimal Defense (AROD), is introduced. Simulation results are given and the strengths and weaknesses of each approach are discussed. Based on the simulation results, some advantages that AROD offers over other existing algorithms are listed. Possible improvements and future research directions are also suggested. © 2017 IEEE.",Conference Paper,
"['57188688103', '57188691775', '36349287300']",Variable stiffness adaptation to mitigate system failure in inflatable robots,Proceedings - IEEE International Conference on Robotics and Automation, 7989687,2.0,10.1109/ICRA.2017.7989687,"Although inflatable soft robots are not yet a common robot platform, air leaking from the internal structure is a common and undesirable mode of failure for these platforms. In this paper we demonstrate a method to detect leaks in the structural chamber of an inflatable, pneumatically actuated robot. We then show that our method can adaptively lower commanded joint stiffness which slows the mass flow rate of the leak. This extends the operational life of the robot by decreasing long term error during operation by as much as 50% of the steady state error at the end effector when compared to the same leak if our adaptation method is not used. In future applications where we expect soft, inflatable robots to be useful, our methods can enable failure mitigation in resource-limited situations such as space exploration or disaster response. © 2017 IEEE.",Conference Paper,
"['57195420301', '7401970125', '36349287300']","Multi-objective design optimization of a soft, pneumatic robot",Proceedings - IEEE International Conference on Robotics and Automation, 7989218,8.0,10.1109/ICRA.2017.7989218,"We present a method for the design optimization of a soft, inflatable robot. The method described utilizes a multi-objective fitness function together with custom, platform-specific metrics related to the dexterity and load-bearing capacity of inflatable manipulators. Candidate designs are scored by computing these metrics at many randomly generated configurations and then by appropriately combining these scores within the multi-objective optimization framework. High performing designs are propagated through a genetic algorithm. The final result is a set of diverse, optimal designs lying along a Pareto front spanning the design space. By examining variations and trade-offs within this set, a designer can more appropriately choose design parameters for a target application. This is especially relevant for robots with many design parameters that can quickly be manufactured as is the case with emerging, soft robot technologies. © 2017 IEEE.",Conference Paper,"['Design Optimization', ' Mobile Robots', ' Soft RobotsDesign', ' Economic and social effects', ' Genetic algorithms', ' Mobile robots', ' Multiobjective optimization', ' Robotics', ' Robots', ' Design optimization', ' Design parameters', ' Load-bearing capacity', ' Multi-objective design optimization', ' Multi-objective fitness function', ' Pneumatic robot', ' Soft robot', ' Target application', ' Machine design']"
"['57195420301', '7401970125', '36349287300']",Motion planning for mobile robots using inverse kinematics branching,Proceedings - IEEE International Conference on Robotics and Automation, 7989588,8.0,10.1109/ICRA.2017.7989588,"A novel algorithm for planning robotic manipulation tasks is presented in which the base position and joint motions of a robot are simultaneously optimized to follow a smooth desired end-effector trajectory. During the optimization routine, the manipulator's base position and joint motions are planned simultaneously by strategically moving a set of virtual robot arms (each representing a single configuration in a sequence) branching from a common base to a number of assigned target poses associated with a task. Additional goals (e.g. collision avoidance) and hard constraints, including joint limits are also incorporated. The optimization problem at the core of this method is a quadratic program, allowing constrained high-dimensional problems to be solved in very little time. This method has successfully planned motions allowing an 8-DOF manipulator to paint walls, and has proven to be highly efficient and scalable in practice. © 2017 IEEE.",Conference Paper,
"['57195596864', '57195596391', '57195598039', '57195595627', '57195600276']",SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document,SAE Technical Papers,,,10.4271/2017-01-6000,"This report describes the aircraft designed and built by the Brigham Young University Idaho (BYU-Idaho) Aero Design Team. The aircraft was built for the SAE Aero East Competition 2017 hosted in Lakeland, Florida. The objective is to design an all-electric aircraft optimized to carry as much weight as possible, while also minimizing the empty weight of the aircraft capable of successfully completing a flight circuit. A flight circuit is defined as flying completely around two safety cones for a total distance of about 726ft. The challenge has provided the team with the opportunity to improve design and manufacturing skills, while also gaining experience in real life engineering challenges. As a result, the team greatly increased their knowledge of aeronautical design and manufacturing. BYU-Idaho has developed a balsa/plywood carbon fiber reinforced fixed wing aircraft weighing approximately.7lbs, capable of carrying more than 4lbs. When configured for flight, its wings span 60in, and an overall length of 20.8in. Its wing can be broken down into three 20in segments. The aircraft is easily transported in a 6in diameter tube that is 20.3in in length. In order to maximize interior space and manufacturability, the fuselage was not streamlined. Aerodynamic advantages gained from streamlining were considered negligible. The three wing segments are made out of balsa wood ribs attached to a carbon fiber balsa wood composite spar. © 2017 SAE International.",Conference Paper,
"['56957771800', '57204469757', '7103395611', '24831334500', '25639041400', '7003292762']","Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs","2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017", 8696180,1.0,10.1109/RADECS.2017.8696180,"Small spot size laser testing for single-event effects has proven to be a particularly productive path to insights on the physics of charge collection and circuit response that are difficult or impossible to obtain through broad ion beam tests. As a result, there are a number of such laser facilities; for example, four of them were compared in 2012 [1], but a relatively new facility at the facility at the University of Saskatchewan offers a unique galvo-mirror, laser-spot scanning capability in addition to the usual micrometer-based DUT motion stage [2]. Operating in a fashion similar to LASIX eye surgery, fast pin-point redirection of the laser beam makes tractable (seconds, not hours or days) comprehensive scanning of a millimeter size field-of-view. Combined with auto-stepping the field-of-view, this new spot scanning capability opens up the possibility of comprehensively covering a large die and finding all SEE sites, including the rare, but important, ones such as SEFIs. © 2017 IEEE.",Conference Paper,
"['7103395611', '18038642000', '57208709468', '57208710317', '57208709846', '57170532300', '57208702517', '57208707588', '57208707585', '6508147112', '57208706948', '57204469757', '7003292762']",Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs,"2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017", 8696210,2.0,10.1109/RADECS.2017.8696210,"Recent proton and heavy ion SEE data are presented for selected Virtex-7 architectural features requiring dynamic in-beam testing: I/O blocks in various modes, IOSERDES, digital- and phase-locked loop clocks, and block memory's error correction circuitry. © 2017 IEEE.",Conference Paper,"['avionics', ' beam testing', ' BRAM', ' EDAC', ' FPGA', ' IOB', ' MMCM', ' PLL', ' SEE', ' SERDES', ' soft-error rate', ' spaceAvionics', ' Error correction', ' Heavy ions', ' Phase locked loops', ' Radiation effects', ' Radiation hardening', ' Beam testing', ' BRAM', ' EDAC', ' MMCM', ' SERDES', ' Soft error rate', ' space', ' Field programmable gate arrays (FPGA)']"
"['57021948900', '56830076500']",A Systems Engineering Approach to Harnessing Human Energy in Public Places: A Feasibility Study,"Journal of Energy Resources Technology, Transactions of the ASME", 041201,1.0,10.1115/1.4035904,"This study analyzes the feasibility of placing modified exercise equipment in public places to enable human energy harnessing. By assessing the impacts as a system-level synthesis of economic, environmental, productivity, and health benefits, it is shown that introducing human-powered equipment (HPE) in public places would be feasible and beneficial both to society in general and to the specific stakeholders investing in this technology. This study develops a framework to evaluate applications of this technology using benefits to costs analyses. The benefits and challenges for successful implementation of HPE technology are also presented and evaluated in various case studies involving public places at airports and schools. Copyright © 2017 by ASME.",Article,
"['56371366400', '55078951500', '57202818911', '57215280005', '6602958570', '7102523474']",Modeling global and local codon bias with deep language models,"Proceedings - 2017 IEEE 17th International Conference on Bioinformatics and Bioengineering, BIBE 2017",,,10.1109/BIBE.2017.00-63,"Codon bias, the usage patterns of synonymous codons for encoding a protein sequence as nucleotides, is a biological phenomenon that is not fully understood. Several methods exist to represent the codon bias of an organism: codon adaptation index (CAI) [1], individual codon usage (ICU), hidden stop codons (HSC) [2] and codon context (CC) [3]. These methods are often employed in the optimization of heterologous gene expression to increase the accuracy and rate of translation. They, however, have many shortcomings as they dont take into account the local and global context of a gene. We present a method for modeling global and local codon bias through deep language models that is more robust than current methods by providing more contextual information and long-range dependencies. © 2017 IEEE.",Conference Paper,"['Codon bias', ' Deep learning', ' Language modeling', ' Machine learningBioinformatics', ' Computational linguistics', ' Deep learning', ' Gene expression', ' Learning systems', ' Biological phenomena', ' Codon bias', ' Contextual information', ' Global context', ' Heterologous gene expressions', ' Language model', ' Long-range dependencies', ' Protein sequences', ' Modeling languages']"
"['57214010282', '57189351639', '57194697486', '57194698845', '7007046711', '6701610428', '7410190129']",Carbon monolith scaffolding for high volumetric capacity silicon Li-ion battery anodes,Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics, 041802,,10.1116/1.4984807,"A nanoporous carbon monolith structure has been developed for use as a scaffold for silicon anodes for lithium batteries. This scaffold was fabricated by coating vertically aligned carbon nanotubes in a highly conformal coating of nanocrystalline carbon, applied via atmospheric pressure chemical vapor deposition. The coating increases the mechanical stability of the nanotube structure, which provides electrically conductive pathways through the anode. Silicon anodes were fabricated with the monoliths by low pressure chemical vapor infiltration of silicon. This platform allows the carbon and silicon volume fractions to be independently varied in the anode. Anodes with a low silicon content (less than 5% by volume) showed high stability in cycling against lithium with a capacity retention of 89.7% between cycles 2 and 185. Anodes with a high silicon content (∼25% by volume) showed poor capacity retention when the carbon content was low (<40% by volume), and transmission electron microscopy analysis indicated that the anodes failed due to the destruction of the nanocrystalline carbon coating during cycling. However, by increasing the carbon content to ∼60% volume percent in the monolith, capacity retention was substantially stabilized even for anodes with very high silicon loadings. These stabilized electrodes exhibited volumetric capacities as high as ∼1000 mA h/ml and retained over 725 mA h/ml by cycle 100. © 2017 American Vacuum Society.",Article,
"['57194141209', '55171433700', '23569552400']",Strategies employed and lessons learned by commercial construction companies during economic recession and recovery,Journal of Construction Engineering and Management, 04017027,5.0,10.1061/(ASCE)CO.1943-7862.0001310,"The purpose of this research was to identify strategies used and lessons learned by western U.S. commercial construction companies during the great recession (2007-2009). The experience gained by companies who weather an economic downturn must be absorbed into the corporate structure in a meaningful way if that knowledge is to be accessible for future recessions. This study focused on identifying and better understanding the specific approaches that commercial construction companies employed to weather the great recession and the corresponding lessons learned. A stratified purposeful sampling survey was conducted across 15 different commercial construction companies and included 57 participants in various management roles. This paper provides a comprehensive list of 124 different strategies or lessons learned across six principal categories: (1) contracting, (2) risk management, (3) cost-control, (4) human resources, (5) financial, and (6) investment related responses. This paper also provides recommendations for commercial construction companies to consider during various economic cycles on the basis of the lessons learned during this recession and recovery. © 2017 American Society of Civil Engineers.",Article,"['Economic cycles', ' Organizational issues', ' Organizational learning', ' Recession', ' RecoveryConstruction', ' Construction industry', ' Recovery', ' Risk management', ' Surveys', ' Commercial construction', ' Economic cycles', ' Economic downturn', ' Economic Recession', ' Organizational issues', ' Organizational learning', ' Recession', ' Sampling survey', ' Economic and social effects']"
"['57202818911', '56371366400', '55376424100', '55078951500', '6602958570', '7006440923', '14057706900', '7102523474']",Whole genome phylogenetic tree reconstruction using colored de bruijn graphs,"Proceedings - 2017 IEEE 17th International Conference on Bioinformatics and Bioengineering, BIBE 2017",,,10.1109/BIBE.2017.00-44,"We present kleuren, a novel assembly-free method to reconstruct phylogenetic trees using the Colored de Bruijn Graph. kleuren works by constructing the Colored de Bruijn Graph and then traversing it, finding bubble structures in the graph that provide phylogenetic signal. The bubbles are then aligned and concatenated to form a supermatrix, from which a phylogenetic tree is inferred. We introduce the algorithms that kleuren uses to accomplish this task, and show its performance on reconstructing the phylogenetic tree of 12 Drosophila species. kleuren reconstructed the established phylogenetic tree accurately, and is a viable tool for phylogenetic tree reconstruction using whole genome sequences. Software package available at: https://github.com/Colelyman/kleuren. © 2017 IEEE.",Conference Paper,"['Algorithm', ' Colored de Bruijn graph', ' Phylogenetics', ' Whole genome sequenceAlgorithms', ' Bioinformatics', ' Genes', ' Genetic engineering', ' Bubble structures', ' De Bruijn graphs', ' Phylogenetic tree reconstruction', ' Phylogenetic trees', ' Phylogenetics', ' Supermatrix', ' Whole genome sequences', ' Trees (mathematics)']"
"['56371366400', '57202818911', '55376424100', '55078951500', '6602958570', '7006440923', '14057706900', '7102523474']",Genome polymorphism detection through relaxed de bruijn graph construction,"Proceedings - 2017 IEEE 17th International Conference on Bioinformatics and Bioengineering, BIBE 2017",,1.0,10.1109/BIBE.2017.00-53,"Comparing genomes to identify polymorphisms is a difficult task, especially beyond single nucleotide poly-morphisms. Polymorphism detection is important in disease association studies as well as in phylogenetic tree reconstruc-tion. We present a method for identifying polymorphisms in genomes by using a modified version de Bruijn graphs, data structures widely used in genome assembly from Next-Generation Sequencing. Using our method, we are able to identify polymorphisms that exist within a genome as well as well as see graph structures that form in the de Bruijn graph for particular types of polymorphisms (translocations, etc.) © 2017 IEEE.",Conference Paper,"['De Bruijn graph', ' Graph', ' GWAS', ' Phylogenetics', ' PolymorphismBioinformatics', ' Genes', ' De Bruijn graphs', ' Disease associations', ' Graph', ' GWAS', ' Next-generation sequencing', ' Phylogenetic trees', ' Phylogenetics', ' Single nucleotides', ' Polymorphism']"
"['57195317234', '16178649400']",Cooperation induction in two player bertand markets with linear demand,Proceedings of the American Control Conference, 7963663,,10.23919/ACC.2017.7963663,"We present a two player gradient play differential game in a producer market with quadratic payoff as a model of behavior in a competitive environment and show that the Nash equilibrium is not efficient. An algorithm is then presented which uses side payments to induce cooperation between firms, and rules for side payment strategies are shown. The stability of the new system at a reasonable equilibrium is proved, and it is shown that all participants are at least as well off as they would be at the non-cooperative equilibrium. Numerical examples show the existence of a reasonable equilibrium and that the basin of attraction of that equilibrium appears to cover all reasonable initial conditions. © 2017 American Automatic Control Council (AACC).",Conference Paper,"['cooperation', ' game theoryCommerce', ' Basin of attraction', ' Competitive environment', ' cooperation', ' Differential games', ' Initial conditions', ' Nash equilibria', ' Non-cooperative', ' Side-payments', ' Game theory']"
